ফসল: Aman | জেলা: Bagerhat | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 150905
ফসল: Aman | জেলা: Khulna | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 266182
ফসল: Aman | জেলা: Kishoreganj | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 215828
ফসল: Aman | জেলা: Kurigram | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 312446
ফসল: Aman | জেলা: Kushtia | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 271251
ফসল: Aman | জেলা: Lakshmipur | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 195078
ফসল: Aman | জেলা: Lalmonirhat | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 216764
ফসল: Aman | জেলা: Madaripur | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 33832
ফসল: Aman | জেলা: Magura | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 152415
ফসল: Aman | জেলা: Manikganj | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 17897
ফসল: Aman | জেলা: Meherpur | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 105565
ফসল: Aman | জেলা: Moulvibazar | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 296432
ফসল: Aman | জেলা: Munshiganj | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 16453
ফসল: Aman | জেলা: Mymensingh | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 644590
ফসল: Aman | জেলা: Naogaon | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 506606
ফসল: Aman | জেলা: Narail | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 91033
ফসল: Aman | জেলা: Narayanganj | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 10831
ফসল: Aman | জেলা: Narsingdi | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 101595
ফসল: Aman | জেলা: Natore | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 204517
ফসল: Aman | জেলা: Netrokona | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 329444
ফসল: Aman | জেলা: Nilphamari | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 308476
ফসল: Aman | জেলা: Noakhali | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 395848
ফসল: Aman | জেলা: Pabna | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 192384
ফসল: Aman | জেলা: Panchagar | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 306853
ফসল: Aman | জেলা: Patuakhali | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 323592
ফসল: Aman | জেলা: Pirojpur | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 99988
ফসল: Aman | জেলা: Rajbari | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 107247
ফসল: Aman | জেলা: Rajshahi | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 232548
ফসল: Aman | জেলা: Rangamati | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 28765
ফসল: Aman | জেলা: Rangpur | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 442446
ফসল: Aman | জেলা: Satkhira | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 230274
ফসল: Aman | জেলা: Shariatpur | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 23078
ফসল: Aman | জেলা: Sherpur | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 192829
ফসল: Aman | জেলা: Sirajganj | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 221083
ফসল: Aman | জেলা: Sunamganj | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 207494
ফসল: Aman | জেলা: Sylhet | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 356207
ফসল: Aman | জেলা: Tangail | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 207672
ফসল: Aman | জেলা: Thakurgaon | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 349856
ফসল: Amra | জেলা: Bagerhat | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 1119
ফসল: Amra | জেলা: Bandarban | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 167
ফসল: Amra | জেলা: Barguna | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 1469
ফসল: Amra | জেলা: Barishal | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 5500
ফসল: Amra | জেলা: Bhola | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 763
ফসল: Amra | জেলা: Bogura | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 790
ফসল: Amra | জেলা: Brahmanbaria | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 13
ফসল: Amra | জেলা: Chandpur | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 263
ফসল: Amra | জেলা: Chapai Nawabganj | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 155
ফসল: Amra | জেলা: Chattogram | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 457
ফসল: Amra | জেলা: Chuadanga | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 362
ফসল: Amra | জেলা: CoxsBazar | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 370
ফসল: Amra | জেলা: Cumilla | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 357
ফসল: Amra | জেলা: Dhaka | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 235
ফসল: Amra | জেলা: Dinajpur | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 569
ফসল: Amra | জেলা: Faridpur | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 647
ফসল: Amra | জেলা: Feni | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 55
ফসল: Amra | জেলা: Gaibandha | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: June to August | কাটাই: August to September | গড় তাপমাত্রা: 25.0°C | তাপমাত্রা: 20.0–30°C | গড় আর্দ্রতা: 70.0% | আপেক্ষিক আর্দ্রতা: 80–60% | উৎপাদন: 149
